Time Stamps,Lat,Long,Velocity,Time ,Time offset ,
13:54:51,37.42290945,-122.1616458,6.43,257847908811424,72992222741,
13:54:51,37.4229089,-122.1616479,6.430616,257847908811424,72992222741,
13:54:52,37.4229298,-122.1617119,6.5,257848914506368,73997917685,
13:54:52,37.4229307,-122.1617128,6.49815,257848914506368,73997917685,
13:54:53,37.42295416,-122.161789,7.06,257849905651154,74989062471,
13:54:53,37.4229539,-122.1617862,7.05777,257849905651154,74989062471,
13:54:54,37.42297651,-122.1618631,6.95,257850913943702,75997355019,
13:54:54,37.4229776,-122.1618621,6.95002,257850913943702,75997355019,
13:54:55,37.42299903,-122.1619398,7.06,257851907677812,76991089129,
13:54:55,37.4229993,-122.1619383,7.059929,257851907677812,76991089129,
13:54:56,37.4230157,-122.1620138,7.07,257852915557652,77998968969,
13:54:56,37.4230178,-122.1620137,7.069057,257852915557652,77998968969,
13:54:57,37.42303134,-122.1620901,7.07,257853912010563,78995421880,
13:54:57,37.4230319,-122.1620904,7.069967,257853912010563,78995421880,
13:54:58,37.42304469,-122.1621673,7.17,257854905258735,79988670052,
13:54:58,37.4230452,-122.1621675,7.169254,257854905258735,79988670052,
13:54:59,37.42305972,-122.1622466,7.23,257855900964876,80984376193,
13:54:59,37.423059,-122.1622467,7.228913,257855900964876,80984376193,
13:55:01,37.42307106,-122.1623284,7.25,257856919510759,82002922076,
13:55:01,37.4230713,-122.1623285,7.249749,257856919510759,82002922076,
13:55:01,37.42308664,-122.1624061,7.12,257857911861431,82995272748,
13:55:01,37.4230846,-122.162407,7.123082,257857911861431,82995272748,
13:55:03,37.4231043,-122.1624796,6.91,257858918904500,84002315817,
13:55:03,37.423103,-122.1624816,6.918285,257858918904500,84002315817,
13:55:03,37.4232713,-122.1631264,,257859150000000,84233411317,
13:55:03,37.4231059,-122.1624897,6.90665,257859150000000,84233411317,
13:55:03,37.42311693,-122.1625605,7.39,257859901688452,84985099769,
13:55:03,37.4231179,-122.1625557,7.387585,257859901688452,84985099769,
13:55:04,37.42313702,-122.1626358,6.94,257860915072719,85998484036,
13:55:04,37.4231361,-122.1626365,6.940504,257860915072719,85998484036,
13:55:06,37.42315198,-122.16271,6.86,257861918487559,87001898876,
13:55:06,37.4231531,-122.1627105,6.859984,257861918487559,87001898876,
13:55:06,37.4231716,-122.1627866,6.94,257862911482866,87994894183,
13:55:06,37.4231701,-122.1627863,6.939359,257862911482866,87994894183,
13:55:07,37.42319006,-122.1628632,7.01,257863915126716,88998538033,
13:55:07,37.4231882,-122.1628632,7.009952,257863915126716,88998538033,
13:55:08,37.42320594,-122.1629349,6.87,257864910530774,89993942091,
13:55:08,37.4232058,-122.1629363,6.87097,257864910530774,89993942091,
13:55:10,37.42322557,-122.1630086,6.9,257865917420197,91000831514,
13:55:10,37.4232244,-122.1630097,6.899888,257865917420197,91000831514,
13:55:10,37.42324234,-122.1630832,7.02,257866912998890,91996410207,
13:55:10,37.4232414,-122.1630838,7.019958,257866912998890,91996410207,
13:55:11,37.42325744,-122.1631587,6.98,257867916160344,92999571661,
13:55:11,37.4232582,-122.1631591,6.97998,257867916160344,92999571661,
13:55:12,37.42327461,-122.1632327,6.86,257868914371120,93997782437,
13:55:12,37.4232742,-122.1632337,6.860621,257868914371120,93997782437,
13:55:13,37.42329068,-122.1633119,7.33,257869916408043,94999819360,
13:55:13,37.4232902,-122.1633111,7.315956,257869916408043,94999819360,
13:55:14,37.42330354,-122.1633846,6.73,257870907628246,95991039563,
13:55:14,37.4233036,-122.1633867,6.765538,257870907628246,95991039563,
13:55:15,37.42331002,-122.163463,6.72,257871912325742,96995737059,
13:55:15,37.4233116,-122.1634628,6.719721,257871912325742,96995737059,
13:55:16,37.42331653,-122.1635377,6.66,257872907580008,97990991325,
13:55:16,37.4233169,-122.1635378,6.660325,257872907580008,97990991325,
13:55:17,37.42332266,-122.1636163,6.54,257873916218077,98999629394,
13:55:17,37.4233212,-122.1636155,6.540373,257873916218077,98999629394,
13:55:19,37.42333805,-122.163685,6.05,257874918786771,1.00002E+11,
13:55:19,37.423335,-122.1636864,6.050581,257874918786771,1.00002E+11,
13:55:19,37.42334757,-122.1637455,5.56,257875905055306,1.00988E+11,
13:55:19,37.4233486,-122.1637473,5.560301,257875905055306,1.00988E+11,
13:55:21,37.42336108,-122.1638103,6.08,257876917774105,1.02001E+11,
13:55:21,37.4233607,-122.16381,6.079639,257876917774105,1.02001E+11,
13:55:22,37.42337214,-122.1638758,6.38,257877919265247,1.03003E+11,
13:55:22,37.4233724,-122.1638763,6.375663,257877919265247,1.03003E+11,
13:55:22,37.42338419,-122.163948,6.73,257878913348783,1.03997E+11,
13:55:22,37.4233839,-122.1639476,6.728574,257878913348783,1.03997E+11,
13:55:24,37.42339725,-122.1640184,6.87,257879918208727,1.05002E+11,
13:55:24,37.4233964,-122.1640198,6.868917,257879918208727,1.05002E+11,
13:55:24,37.42341007,-122.1640905,6.46,257880914585910,1.05998E+11,
13:55:24,37.4234088,-122.1640924,6.461249,257880914585910,1.05998E+11,
13:55:25,37.42342574,-122.164162,6.63,257881915506009,1.06999E+11,
13:55:25,37.4234245,-122.1641626,6.629932,257881915506009,1.06999E+11,
13:55:26,37.42343912,-122.1642346,6.51,257882910832046,1.07994E+11,
13:55:26,37.4234403,-122.1642343,6.510052,257882910832046,1.07994E+11,
13:55:27,37.42345568,-122.1643095,6.62,257883908326312,1.08992E+11,
13:55:27,37.4234559,-122.1643081,6.619451,257883908326312,1.08992E+11,
13:55:28,37.42347509,-122.1643824,6.55,257884914665423,1.09998E+11,
13:55:28,37.4234743,-122.1643818,6.550919,257884914665423,1.09998E+11,
13:55:29,37.42348966,-122.1644484,6.38,257885902514167,1.10986E+11,
13:55:29,37.4234899,-122.1644497,6.380378,257885902514167,1.10986E+11,
13:55:30,37.42350708,-122.1645154,6.48,257886916168695,1.12E+11,
13:55:30,37.4235061,-122.1645171,6.479973,257886916168695,1.12E+11,
13:55:31,37.42352702,-122.1645844,6.39,257887903386658,1.12987E+11,
13:55:31,37.423526,-122.1645849,6.390061,257887903386658,1.12987E+11,
13:55:32,37.42354459,-122.1646511,6.2,257888908962643,1.13992E+11,
13:55:32,37.4235444,-122.1646521,6.202025,257888908962643,1.13992E+11,
13:55:34,37.42356275,-122.1647184,6.38,257889920751390,1.15004E+11,
13:55:34,37.4235631,-122.1647186,6.379354,257889920751390,1.15004E+11,
13:55:34,37.4235777,-122.1647862,6.17,257890914433520,1.15998E+11,
13:55:34,37.423579,-122.1647863,6.170201,257890914433520,1.15998E+11,
13:55:35,37.42359341,-122.16485,6.06,257891912754141,1.16996E+11,
13:55:35,37.4235937,-122.1648511,6.061302,257891912754141,1.16996E+11,
13:55:36,37.42360794,-122.164917,6.31,257892907242781,1.17991E+11,
13:55:36,37.4236075,-122.1649171,6.302703,257892907242781,1.17991E+11,
13:55:37,37.42361676,-122.1649833,5.96,257893915698976,1.18999E+11,
13:55:37,37.423617,-122.1649847,5.965507,257893915698976,1.18999E+11,
13:55:38,37.42362564,-122.1650528,6.21,257894914425638,1.19998E+11,
13:55:38,37.4236249,-122.1650525,6.20921,257894914425638,1.19998E+11,
13:55:39,37.42362296,-122.1651216,5.94,257895909679747,1.20993E+11,
13:55:39,37.4236249,-122.1651218,5.940184,257895909679747,1.20993E+11,
13:55:40,37.42361852,-122.1651946,6.34,257896902540315,1.21986E+11,
13:55:40,37.4236194,-122.1651926,6.33971,257896902540315,1.21986E+11,
13:55:41,37.42362687,-122.1652658,6.57,257897914230728,1.22998E+11,
13:55:41,37.4236235,-122.1652656,6.569714,257897914230728,1.22998E+11,
13:55:42,37.42364055,-122.1653374,6.37,257898916441974,1.24E+11,
13:55:42,37.4236391,-122.1653378,6.372606,257898916441974,1.24E+11,
13:55:44,37.42365595,-122.1654106,6.57,257899919619886,1.25003E+11,
13:55:44,37.4236556,-122.1654096,6.565113,257899919619886,1.25003E+11,
13:55:44,37.42367231,-122.1654888,6.96,257900907138162,1.25991E+11,
13:55:44,37.4236724,-122.165486,6.956651,257900907138162,1.25991E+11,
13:55:45,37.42369172,-122.1655627,6.88,257901909164616,1.26993E+11,
13:55:45,37.4236907,-122.1655626,6.880262,257901909164616,1.26993E+11,
13:55:46,37.42371191,-122.165643,7.18,257902901891798,1.27985E+11,
13:55:46,37.4237115,-122.1656407,7.170902,257902901891798,1.27985E+11,
13:55:47,37.42372655,-122.1657124,6.24,257903911268513,1.28995E+11,
13:55:47,37.4237285,-122.1657141,6.247341,257903911268513,1.28995E+11,
13:55:48,37.42373188,-122.1657873,6.68,257904916358144,1.3E+11,
13:55:48,37.4237355,-122.1657859,6.678694,257904916358144,1.3E+11,
13:55:49,37.42374121,-122.165862,6.68,257905915973348,1.30999E+11,
13:55:49,37.42374,-122.1658618,6.680007,257905915973348,1.30999E+11,
13:55:50,37.42375706,-122.1659373,6.92,257906912702406,1.31996E+11,
13:55:50,37.423754,-122.1659371,6.919537,257906912702406,1.31996E+11,
13:55:52,37.42376944,-122.1660041,6.53,257907916623860,1.33E+11,
13:55:52,37.4237706,-122.1660066,6.530877,257907916623860,1.33E+11,
13:55:53,37.42378529,-122.1660701,6.06,257908917740210,1.34001E+11,
13:55:53,37.4237864,-122.1660723,6.127286,257908917740210,1.34001E+11,
13:55:53,37.42380359,-122.1661432,6.69,257909913018434,1.34996E+11,
13:55:53,37.4238032,-122.166142,6.666071,257909913018434,1.34996E+11,
13:55:54,37.42381999,-122.1662169,6.51,257910907917439,1.35991E+11,
13:55:54,37.4238205,-122.1662158,6.510479,257910907917439,1.35991E+11,
13:55:55,37.42383992,-122.1662838,6.5,257911915903529,1.36999E+11,
13:55:55,37.4238389,-122.1662849,6.500193,257911915903529,1.36999E+11,
13:55:56,37.42385068,-122.1663546,6.16,257912908687847,1.37992E+11,
13:55:56,37.423852,-122.1663548,6.163646,257912908687847,1.37992E+11,
13:55:57,37.42386499,-122.1664195,6.18,257913911252270,1.38995E+11,
13:55:57,37.4238631,-122.166421,6.180185,257913911252270,1.38995E+11,
13:55:58,37.42388048,-122.1664797,5.16,257914912995078,1.39996E+11,
13:55:58,37.4238792,-122.1664825,5.215436,257914912995078,1.39996E+11,
13:55:59,37.42390257,-122.16654,5.8,257915915843719,1.40999E+11,
13:55:59,37.4239,-122.1665396,5.793979,257915915843719,1.40999E+11,
13:56:00,37.42393195,-122.1665852,5.48,257916911044808,1.41994E+11,
13:56:00,37.4239279,-122.1665899,5.479438,257916911044808,1.41994E+11,
13:56:02,37.42397243,-122.1666286,5.52,257917918434335,1.43002E+11,
13:56:02,37.4239696,-122.1666301,5.519727,257917918434335,1.43002E+11,
13:56:02,37.42400253,-122.1666559,5,257918906061621,1.43989E+11,
13:56:02,37.4240049,-122.166659,5.076381,257918906061621,1.43989E+11,
13:56:03,37.4240177,-122.1662579,,257919130000000,1.44213E+11,
13:56:03,37.424008,-122.1666615,5.032155,257919130000000,1.44213E+11,
13:56:04,37.4240692,-122.1666569,6.6,257919918528128,1.45002E+11,
13:56:04,37.4240603,-122.1666646,6.452968,257919918528128,1.45002E+11,
13:56:05,37.42412664,-122.1666505,6.58,257920917165884,1.46001E+11,
13:56:05,37.424124,-122.1666552,6.577004,257920917165884,1.46001E+11,
13:56:05,37.42417889,-122.1666346,6.09,257921906457493,1.4699E+11,
13:56:05,37.4241795,-122.1666355,6.091831,257921906457493,1.4699E+11,
13:56:06,37.42423696,-122.1666165,6.5,257922915868531,1.47999E+11,
13:56:06,37.4242354,-122.1666153,6.499374,257922915868531,1.47999E+11,
13:56:07,37.42428929,-122.166588,6.58,257923913535089,1.48997E+11,
13:56:07,37.4242902,-122.1665911,6.579048,257923913535089,1.48997E+11,
13:56:08,37.42434158,-122.1665678,6.71,257924915979668,1.49999E+11,
13:56:08,37.4243434,-122.1665686,6.709491,257924915979668,1.49999E+11,
13:56:09,37.42439352,-122.1665507,6.72,257925912746278,1.50996E+11,
13:56:09,37.424396,-122.1665497,6.719535,257925912746278,1.50996E+11,
13:56:10,37.42445033,-122.1665332,6.91,257926912653096,1.51996E+11,
13:56:10,37.4244518,-122.166533,6.909401,257926912653096,1.51996E+11,
13:56:11,37.4245096,-122.1665179,6.93,257927909345851,1.52993E+11,
13:56:11,37.4245104,-122.1665171,6.929996,257927909345851,1.52993E+11,
13:56:12,37.42457154,-122.1664999,6.91,257928914772670,1.53998E+11,
13:56:12,37.4245714,-122.1664993,6.910028,257928914772670,1.53998E+11,
13:56:14,37.4246251,-122.1664763,6.59,257929918396468,1.55002E+11,
13:56:14,37.4246274,-122.166478,6.592156,257929918396468,1.55002E+11,
13:56:14,37.42468234,-122.1664431,6.59,257930914462609,1.55998E+11,
13:56:14,37.4246827,-122.1664469,6.59214,257930914462609,1.55998E+11,
13:56:15,37.42473981,-122.1664178,6.68,257931913993594,1.56997E+11,
13:56:15,37.4247386,-122.1664167,6.657842,257931913993594,1.56997E+11,
13:56:16,37.4247877,-122.1664155,5.51,257932904991349,1.57988E+11,
13:56:16,37.4247893,-122.1664092,5.523288,257932904991349,1.57988E+11,
13:56:17,37.42484202,-122.1664373,6.86,257933907648532,1.58991E+11,
13:56:17,37.4248411,-122.1664299,6.858542,257933907648532,1.58991E+11,
13:56:18,37.42488621,-122.1664822,6.35,257934911936289,1.59995E+11,
13:56:18,37.4248891,-122.1664776,6.349716,257934911936289,1.59995E+11,
13:56:19,37.42491126,-122.1665395,6.51,257935912610659,1.60996E+11,
13:56:19,37.4249162,-122.1665371,6.502348,257935912610659,1.60996E+11,
13:56:20,37.42493642,-122.1665999,5.7,257936911926800,1.61995E+11,
13:56:20,37.4249373,-122.1666014,5.769833,257936911926800,1.61995E+11,
13:56:22,37.42495185,-122.1666668,6.36,257937922311276,1.63006E+11,
13:56:22,37.4249528,-122.166666,6.346835,257937922311276,1.63006E+11,
13:56:22,37.42497456,-122.1667415,6.48,257938907755853,1.63991E+11,
13:56:22,37.4249714,-122.1667395,6.479859,257938907755853,1.63991E+11,
13:56:23,37.4249417,-122.1668678,,257939125000000,1.64208E+11,
13:56:23,37.4249749,-122.1667484,6.479365,257939125000000,1.64208E+11,
13:56:23,37.42499222,-122.1668168,7.03,257939911643558,1.64995E+11,
13:56:23,37.4249908,-122.1668126,7.022358,257939911643558,1.64995E+11,
13:56:24,37.42500657,-122.1668912,6.57,257940904213448,1.65988E+11,
13:56:24,37.4250067,-122.1668904,6.586882,257940904213448,1.65988E+11,
13:56:25,37.42502976,-122.1669472,6.23,257941905881985,1.66989E+11,
13:56:25,37.4250262,-122.1669523,6.23387,257941905881985,1.66989E+11,
13:56:27,37.42505888,-122.1670078,6.32,257942918070732,1.68001E+11,
13:56:27,37.4250564,-122.1670106,6.312873,257942918070732,1.68001E+11,
13:56:27,37.42508842,-122.167065,5.71,257943911980362,1.68995E+11,
13:56:27,37.4250876,-122.1670668,5.830015,257943911980362,1.68995E+11,
13:56:28,37.4251564,-122.1670875,7.09,257944915804681,1.69999E+11,
13:56:28,37.4251463,-122.1670964,7.022323,257944915804681,1.69999E+11,
13:56:29,37.42519489,-122.1671487,6.5,257945912033530,1.70995E+11,
13:56:29,37.4251971,-122.1671434,6.493077,257945912033530,1.70995E+11,
13:56:30,37.42524663,-122.1672105,7.94,257946907209359,1.71991E+11,
13:56:30,37.4252415,-122.1672082,7.873036,257946907209359,1.71991E+11,
13:56:31,37.4252757,-122.1672741,6.91,257947908861021,1.72992E+11,
13:56:31,37.4252804,-122.1672734,6.955395,257947908861021,1.72992E+11,
13:56:32,37.42530563,-122.1673411,6.63,257948913507006,1.73997E+11,
13:56:32,37.4253089,-122.1673402,6.629142,257948913507006,1.73997E+11,
13:56:33,37.42533311,-122.1674117,6.73,257949915837315,1.74999E+11,
13:56:33,37.4253332,-122.1674108,6.729498,257949915837315,1.74999E+11,
13:56:35,37.42535249,-122.1674849,6.75,257950916644654,1.76E+11,
13:56:35,37.4253539,-122.1674837,6.749825,257950916644654,1.76E+11,
13:56:35,37.42537203,-122.167557,6.76,257951915236055,1.76999E+11,
13:56:35,37.4253719,-122.1675569,6.759734,257951915236055,1.76999E+11,
